ticker,cik,concept,xbrl_tag,fiscal_year,period_end,filed_date,lag_days,value_usd,qa_status
AAPL,320193,Revenue,RevenueFromContractWithCustomerExcludingAssessedTax,2025,2025-09-27,2025-10-31,34,416161000000,clean
AAPL,320193,NetIncome,NetIncomeLoss,2025,2025-09-27,2025-10-31,34,112010000000,clean
AAPL,320193,Assets,Assets,2025,2025-09-27,2025-10-31,34,359241000000,clean
AAPL,320193,StockholdersEquity,StockholdersEquity,2025,2025-09-27,2025-10-31,34,73733000000,clean
MSFT,789019,Revenue,RevenueFromContractWithCustomerExcludingAssessedTax,2025,2025-06-30,2025-07-30,30,281724000000,clean
MSFT,789019,NetIncome,NetIncomeLoss,2025,2025-06-30,2025-07-30,30,101832000000,clean
MSFT,789019,Assets,Assets,2025,2025-06-30,2025-07-30,30,619003000000,clean
MSFT,789019,StockholdersEquity,StockholdersEquity,2025,2025-06-30,2025-07-30,30,343479000000,clean
GOOGL,1652044,Revenue,Revenues,2025,2025-12-31,2026-02-05,36,402836000000,clean
GOOGL,1652044,NetIncome,NetIncomeLoss,2025,2025-12-31,2026-02-05,36,132170000000,clean
GOOGL,1652044,Assets,Assets,2025,2025-12-31,2026-02-05,36,595281000000,clean
GOOGL,1652044,StockholdersEquity,StockholdersEquity,2025,2025-12-31,2026-02-05,36,415265000000,clean
AMZN,1018724,Revenue,RevenueFromContractWithCustomerExcludingAssessedTax,2025,2025-12-31,2026-02-06,37,716924000000,clean
AMZN,1018724,NetIncome,NetIncomeLoss,2025,2025-12-31,2026-02-06,37,77670000000,clean
AMZN,1018724,Assets,Assets,2025,2025-12-31,2026-02-06,37,818042000000,clean
AMZN,1018724,StockholdersEquity,StockholdersEquity,2025,2025-12-31,2026-02-06,37,411065000000,clean
META,1326801,Revenue,RevenueFromContractWithCustomerExcludingAssessedTax,2025,2025-12-31,2026-01-29,29,200966000000,clean
META,1326801,NetIncome,NetIncomeLoss,2025,2025-12-31,2026-01-29,29,60458000000,clean
META,1326801,Assets,Assets,2025,2025-12-31,2026-01-29,29,366021000000,clean
META,1326801,StockholdersEquity,StockholdersEquity,2025,2025-12-31,2026-01-29,29,217243000000,clean
NVDA,1045810,Revenue,Revenues,2026,2026-01-25,2026-02-25,31,215938000000,clean
NVDA,1045810,NetIncome,NetIncomeLoss,2026,2026-01-25,2026-02-25,31,120067000000,clean
NVDA,1045810,Assets,Assets,2026,2026-01-25,2026-02-25,31,206803000000,clean
NVDA,1045810,StockholdersEquity,StockholdersEquity,2026,2026-01-25,2026-02-25,31,157293000000,clean
TSLA,1318605,Revenue,RevenueFromContractWithCustomerExcludingAssessedTax,2025,2025-12-31,2026-01-29,29,94827000000,clean
TSLA,1318605,NetIncome,NetIncomeLoss,2025,2025-12-31,2026-01-29,29,3794000000,clean
TSLA,1318605,Assets,Assets,2025,2025-12-31,2026-01-29,29,137806000000,clean
TSLA,1318605,StockholdersEquity,StockholdersEquity,2025,2025-12-31,2026-01-29,29,82137000000,clean
JPM,19617,Revenue,Revenues,2025,2025-12-31,2026-02-13,44,182447000000,clean
JPM,19617,NetIncome,NetIncomeLoss,2025,2025-12-31,2026-02-13,44,57048000000,clean
JPM,19617,Assets,Assets,2025,2025-12-31,2026-02-13,44,4424900000000,clean
JPM,19617,StockholdersEquity,StockholdersEquity,2025,2025-12-31,2026-02-13,44,362438000000,clean
JNJ,200406,Revenue,RevenueFromContractWithCustomerExcludingAssessedTax,2025,2025-12-28,2026-02-11,45,94193000000,clean
JNJ,200406,NetIncome,NetIncomeLoss,2025,2025-12-28,2026-02-11,45,26804000000,clean
JNJ,200406,Assets,Assets,2025,2025-12-28,2026-02-11,45,199210000000,clean
JNJ,200406,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,2025,2025-12-28,2026-02-11,45,81544000000,clean
V,1403161,Revenue,RevenueFromContractWithCustomerExcludingAssessedTax,2025,2025-09-30,2025-11-06,37,40000000000,clean
V,1403161,NetIncome,NetIncomeLoss,2025,2025-09-30,2025-11-06,37,20058000000,clean
V,1403161,Assets,Assets,2025,2025-09-30,2025-11-06,37,99627000000,clean
V,1403161,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,2025,2025-09-30,2025-11-06,37,37909000000,clean
WMT,104169,Revenue,RevenueFromContractWithCustomerExcludingAssessedTax,2026,2026-01-31,2026-03-13,41,706413000000,clean
WMT,104169,NetIncome,NetIncomeLoss,2026,2026-01-31,2026-03-13,41,21893000000,clean
WMT,104169,Assets,Assets,2026,2026-01-31,2026-03-13,41,284668000000,clean
